"Source","Target","Parameter Dependency","declarations","Local Variables Dependency","hierarchy","Object Creation Dependency","Properties Dependency","Fields Dependency","returns","all"
"HoneydewTestProject.CyclomaticComplexity.ForeachCyclo","System.Collections.Generic.IList<string>","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.CyclomaticComplexity.PatternSwitchCycloWithClassHierarchy","HoneydewTestProject.CyclomaticComplexity.IInterface","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.CyclomaticComplexity.PatternSwitchCycloWithClassHierarchy","HoneydewTestProject.CyclomaticComplexity.MyClass2","0","1","1","0","0","0","0","0","2"
"HoneydewTestProject.CyclomaticComplexity.MyClass1","HoneydewTestProject.CyclomaticComplexity.IInterface","0","0","0","1","0","0","0","0","1"
"HoneydewTestProject.CyclomaticComplexity.MyClass2","HoneydewTestProject.CyclomaticComplexity.IInterface","0","0","0","1","0","0","0","0","1"
"HoneydewTestProject.CyclomaticComplexity.MyClass3","HoneydewTestProject.CyclomaticComplexity.IInterface","0","0","0","1","0","0","0","0","1"
"HoneydewTestProject.Generics","System.Collections.Generic.List<HoneydewTestProject.A.C1>","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.NotAmbiguous","HoneydewTestProject.A.D1","1","5","2","0","2","1","1","0","12"
"HoneydewTestProject.NullableReferenceType","HoneydewTestProject.A.C1","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.ReferencesABViaNamespacePrefix","HoneydewTestProject.A.C1","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.ReferencesABViaNamespacePrefix","HoneydewTestProject.B.C1","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.ReferencesABViaUsingAlias","HoneydewTestProject.A.C1","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.ReferencesABViaUsingAlias","HoneydewTestProject.B.C1","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.ReferencesOnlyAUsingInsideOfNamespaceNoRedundantQualifier","HoneydewTestProject.A.C1","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.ReferencesOnlyAUsingInsideOfNamespaceRedundantQualifier","HoneydewTestProject.A.C1","1","1","0","0","0","0","0","0","2"
"HoneydewTestProject.ReferencesOnlyAUsingOutsideOfNamespace","HoneydewTestProject.A.C1","1","2","0","0","0","1","0","0","4"
"HoneydewTestProject.TrainWreck","HoneydewTestProject.Wagon4","0","0","0","0","1","0","0","0","1"
"HoneydewTestProject.Wagon2","HoneydewTestProject.Wagon1","0","0","0","0","1","0","0","1","2"
"HoneydewTestProject.Wagon3","HoneydewTestProject.Wagon2","0","0","0","0","1","0","0","1","2"
"HoneydewTestProject.Wagon4","HoneydewTestProject.Wagon3","0","0","0","0","1","0","0","1","2"
