"Source","Target","Object Creation Dependency","Properties Dependency","Fields Dependency","Parameter Dependency","Local Variables Dependency","Return Value Dependency","Total Count"
"HoneydewTestProject/NotAmbiguous.cs","HoneydewTestProject.A/D1.cs","2","1","1","1","2","","7"
"HoneydewTestProject/ReferencesABViaNamespacePrefix.cs","HoneydewTestProject.A/C1.cs","","","","1","","","1"
"HoneydewTestProject/ReferencesABViaNamespacePrefix.cs","HoneydewTestProject.B/C1.cs","","","","1","","","1"
"HoneydewTestProject/ReferencesABViaUsingAlias.cs","HoneydewTestProject.A/C1.cs","","","","1","","","1"
"HoneydewTestProject/ReferencesABViaUsingAlias.cs","HoneydewTestProject.B/C1.cs","","","","1","","","1"
"HoneydewTestProject/ReferencesOnlyAUsingInsideOfNamespaceNoRedundantQualifier.cs","HoneydewTestProject.A/C1.cs","","","","1","","","1"
"HoneydewTestProject/ReferencesOnlyAUsingInsideOfNamespaceRedundantQualifier.cs","HoneydewTestProject.A/C1.cs","","","","1","","","1"
"HoneydewTestProject/ReferencesOnlyAUsingOutsideOfNamespace.cs","HoneydewTestProject.A/C1.cs","","1","","1","","","2"
"HoneydewTestProject/TrainWreck.cs","HoneydewTestProject/TrainWreck.cs","4","","","","","3","7"
"HoneydewTestProject.CyclomaticComplexity/PatternSwitchCycloWithClassHierarchy.cs","HoneydewTestProject.CyclomaticComplexity/PatternSwitchCycloWithClassHierarchy.cs","","","","1","1","","2"
