"Source","Target","Parameter Dependency","Local Variables Dependency","Fields Dependency","Properties Dependency","Object Creation Dependency","Return Value Dependency","Total Count"
"HoneydewTestProject.Generics","System.Collections.Generic.List<C1>","1","","","","","","1"
"HoneydewTestProject.Generics","c1Params.Single().X","","1","","","","","1"
"HoneydewTestProject.NotAmbiguous","D1","1","2","1","1","2","","7"
"HoneydewTestProject.NotAmbiguous","param.X","","1","","","","","1"
"HoneydewTestProject.NullableReferenceType","C1?","1","","","","","","1"
"HoneydewTestProject.NullableReferenceType","c1Params.X","","1","","","","","1"
"HoneydewTestProject.ReferencesABViaNamespacePrefix","C1","1","","","","","","1"
"HoneydewTestProject.ReferencesABViaNamespacePrefix","B.C1","1","","","","","","1"
"HoneydewTestProject.ReferencesABViaNamespacePrefix","c1Params.X","","2","","","","","2"
"HoneydewTestProject.ReferencesABViaUsingAlias","C1","1","","","","","","1"
"HoneydewTestProject.ReferencesABViaUsingAlias","C1B","1","","","","","","1"
"HoneydewTestProject.ReferencesABViaUsingAlias","c1Params.X","","2","","","","","2"
"HoneydewTestProject.ReferencesOnlyAUsingInsideOfNamespaceNoRedundantQualifier","C1","1","","","","","","1"
"HoneydewTestProject.ReferencesOnlyAUsingInsideOfNamespaceNoRedundantQualifier","c1Params.X","","1","","","","","1"
"HoneydewTestProject.ReferencesOnlyAUsingInsideOfNamespaceRedundantQualifier","C1","1","","","","","","1"
"HoneydewTestProject.ReferencesOnlyAUsingInsideOfNamespaceRedundantQualifier","c1Params.X","","1","","","","","1"
"HoneydewTestProject.ReferencesOnlyAUsingOutsideOfNamespace","C1","1","","","1","","","2"
"HoneydewTestProject.ReferencesOnlyAUsingOutsideOfNamespace","c1Params.X","","1","","","","","1"
"HoneydewTestProject.TrainWreck","HoneydewTestProject.Wagon4","","","","","1","","1"
"HoneydewTestProject.Wagon2","HoneydewTestProject.Wagon1","","","","","1","1","2"
"HoneydewTestProject.Wagon3","HoneydewTestProject.Wagon2","","","","","1","1","2"
"HoneydewTestProject.Wagon4","HoneydewTestProject.Wagon3","","","","","1","1","2"
"HoneydewTestProject.CyclomaticComplexity.ConditionalOperatorsCyclo","int?","","1","","","","","1"
"HoneydewTestProject.CyclomaticComplexity.ForeachCyclo","System.Collections.Generic.IList<string>","1","","","","","","1"
"HoneydewTestProject.CyclomaticComplexity.PatternSwitchCycloWithClassHierarchy","HoneydewTestProject.CyclomaticComplexity.IInterface","1","","","","","","1"
